"","Extraction_ID","volXtra","remaining_original_ul","dilutions_completed","LP_sucessful","Prep_ID","Date_DNA_Dilution","original_ng_per_ul","ng_DNA_undiluted"
"1",60,"D",60,0,"N","","",10.4,624
"2",58,"C",65,0,"N","","",9.2,598
"3",62,"C",65,0,"N","","",5.48,356.2
"4",69,"C",65,0,"N","","",7.32,475.8
"5",72,"C",65,0,"N","","",4.76,309.4
"6",73,"C",65,0,"N","","",4.68,304.2
"7",77,"C",65,0,"N","","",7.4,481
"8",79,"C",65,0,"N","","",1.9,123.5
"9",82,"C",65,0,"N","","",4.52,293.8
"10",83,"C",65,0,"N","","",3.192,207.48
"11",84,"C",65,0,"N","","",11.96,777.4
"12",90,"C",65,0,"N","","",10.12,657.8
"13",91,"C",65,0,"N","","",7.76,504.4
"14",92,"C",65,0,"N","","",6.6,429
"15",93,"C",65,0,"N","","",3.036,197.34
"16",85,"D",65,0,"N","","",3.256,211.64
"17",89,"D",65,0,"N","","",4.52,293.8
"18",94,"D",65,0,"N","","",6.84,444.6
"19",97,"D",65,0,"N","","",3.964,257.66
